Dataset_Size,Task,Time_ms
1000000,Basic_Statistics,7.8533
1000000,Histogram,9.1697
1000000,Sorting,232.172
1000000,Pearson_Correlation,13.409
1000000,Moving_Average,20.1413
1000000,Outlier_Detection,5.3151
Dataset_Size,Task,Time_ms
10000000,Basic_Statistics,62.6991
10000000,Histogram,86.325
10000000,Sorting,2830.45
10000000,Pearson_Correlation,137.746
10000000,Moving_Average,178.431
10000000,Outlier_Detection,51.0004
Dataset_Size,Task,Time_ms
100000000,Basic_Statistics,580.975
100000000,Histogram,814.265
100000000,Sorting,30492.6
100000000,Pearson_Correlation,1431.54
100000000,Moving_Average,2102.48
100000000,Outlier_Detection,522.769
